source_UnitID,source_UnitName,target_UnitID,target_UnitName
BD,BUNDLE,PK,PAC
BG,SACK,BG,BG
BGS,SACK SMALL,BG,BG
BX,BOX,CR,CR
CM,CENTIMETER,CMT,CM
FT,FOOT,FOT,FT
GR,GRAM,GRM,G
h,Hour,HUR,HR
IN,INCH,INH,""""
KG,KILOGRAM,KGM,KG
L,LITER,LTR,L
LBS,POUND,LBR,LB
M,METER,MTR,M
M2,SQUARE METER,MTK,M2
M3,CUBIC METER,MTQ,M3
MIN,MINUTE,MIN,MIN
MM,MILLIMETER,MMT,MM
MM2,SQUARE MILLIMETER,MMK,MM2
PCE,PIECE,EA,EA
PK,PACK,PK,PAC
PL,PALLET,PF,PAL
PR,PAIR,PR,PAA
RL,ROLL,EA,EA
T,TONNE,TNE,TO
BL,Blisters,EA,EA
CHF,Schweizer Franken,EA,EA
DZ,Dozen,DZN,EA
EUR,Euro,EA,ES
FL,Flessen,BO,BT
HR,Uur - Heure,HUR,HR
KKR,Koker,EA,EA
KM,Kilometer - Kilometre,KMT,KM
KWH,KiloWattUur,KWH,KWH
LFM,Lopende meter,MTR,M
LT,Liter - Litre,LTR,L
M?,M?,MTR,M
M2,Vierkante meter - Metre carre,MTK,M2
M3,Kubieke meter - Metre cube,MTQ,M3
MC,MC,EA,EA
MT,Meter - Metre,MTR,M
PC,Stuks - Piece,EA,EA
PT,Platen,EA,EA
PU,Packing unit,EA,EA
Sac,Sac,BG,BG
SE,Sets,PK,PAC
SET,Set,PK,PAC
ST,Stk.,EA,EA
STR,Streifen - Strips,EA,EA
Tag,Tag,DAY,D
to,Tonnen-Tonne,TNE,TO
WK,Week,WEE,WK
ZK,Zakken,BG,BG
